,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
14,GO_Biological_Process_2023,Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742),51/172,7.762450248427427e-05,0.022355247049491,0,0,1.9758893899091048,18.69908102296621,ROBO2;ROBO3;TENM1;ROBO4;TENM2;PTPRM;CDH7;CDH5;CDH2;MPZ;HMCN2;CD177;TGFBR2;CLDN6;PSG9;CLDN11;CLDN5;CLDN9;CEACAM6;CLDN14;CLDN8;CDH10;CEACAM5;CDH11;CDH12;CLDN19;PECAM1;CDH13;DSG1;CDH15;CRB2;NLGN1;GATA5;UMOD;IGSF9;IGSF21;CDH22;SLITRK3;CDH23;NTNG1;CADM3;CNTN6;SELP;LRFN5;LRFN4;CD209;FAT2;FAT4;NECTIN3;ADGRL3;CBLN1
13,GO_Biological_Process_2023,Extracellular Matrix Disassembly (GO:0022617),19/44,7.28837077339557e-05,0.022355247049491,0,0,3.551131324616259,33.83036901138165,PRSS1;GSN;TMPRSS6;CMA1;MMP1;HPN;MMP3;KLK4;MMP8;MMP9;MMP10;MMP12;ADAMTS5;MMP11;MMP13;CTSG;ADAM8;PRSS2;ELANE
17,GO_Biological_Process_2023,Tyrosine Metabolic Process (GO:0006570),8/11,9.411481147202494e-05,0.0229901570023607,0,0,12.43789553225654,115.31166881192652,IL4I1;SLC45A2;TH;IYD;PAH;TAT;FANCA;HPD
18,GO_Biological_Process_2023,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),48/163,0.0001488966943786327,0.0344578297464656,0,0,1.9557217092227748,17.234323923492482,ADCYAP1R1;CXCL9;CALCB;GPR26;ADCY4;CACNA1D;ADRB2;PTH1R;AKAP5;GNAI1;CRHR2;RIMS2;ADGRG3;AKAP12;ADGRG4;CALCR;CNR1;GRM8;FFAR3;P2RY12;GABBR2;LHCGR;HTR1E;HTR1D;PDE2A;AVPR2;GLP2R;SCTR;OPRK1;GPR37L1;CXCL10;MARCO;ADGRD1;CXCL11;GNAL;ADGRB2;ADRB3;ADGRB3;ADGRF4;ADGRD2;ADM2;ADGRF5;UTS2;ADGRL4;VIP;RAMP1;ADGRL3;PF4
4403,KEGG_2021_Human,Neutrophil extracellular trap formation,51/189,0.0009267776636735156,0.0400346625497966,0,0,1.7306804859188305,12.086720953915732,H2AX;AQP9;H2AC16;H2AC17;H2AC11;H2AC13;FCGR3A;H2AC14;H2BC21;H4C2;CTSG;H4C4;H4C3;CAMP;H4C5;FGA;H3C8;H2AC8;H2AC6;VWF;H2BC17;H2BC18;H2BC12;H2BC13;H2BC14;H2BC15;H4C14;H4C12;H2BC11;H4C11;H3C13;CLEC7A;H3C12;H3C10;H3C3;H3C2;FCGR1A;ELANE;H3C7;H4C8;H2AZ1;H2BC9;H2BC7;H4C9;H2BC8;H2BC5;H2BC6;H2BC4;AZU1;SELP;H2AC20
4404,KEGG_2021_Human,Phenylalanine metabolism,9/17,0.0010331525819302,0.0400346625497966,0,0,5.247130102040816,36.074756107523626,AOC3;ALDH3A1;IL4I1;AOC2;MAOA;TAT;PAH;GLYAT;HPD
4405,KEGG_2021_Human,Protein digestion and absorption,31/103,0.0013955729934279,0.0480697364402946,0,0,2.012902484629524,13.23372714278526,COL17A1;PRSS1;CPB1;COL14A1;COL11A1;COL12A1;ATP1A3;ATP1A2;SLC8A2;DPP4;COL10A1;PRSS2;CPA2;CPA1;SLC36A2;COL24A1;MME;COL25A1;COL22A1;COL1A1;ACE2;COL1A2;COL2A1;COL5A1;XPNPEP2;FXYD2;COL4A3;COL5A2;COL9A1;COL6A6;COL6A5
19,GO_Biological_Process_2023,Cardiac Muscle Cell Action Potential Involved In Contraction (GO:0086002),14/30,0.00024008336659695647,0.0507789812999622,0,0,4.084906329832529,34.04575120857955,KCNH2;KCNE1;CAV3;KCNE4;KCNE5;CACNA2D1;LOC102723475;CACNA1D;KCNA5;SCN5A;SCN3B;SCN4B;SCN1A;SCN2B
20,GO_Biological_Process_2023,Positive Regulation Of Epithelial Cell Proliferation (GO:0050679),38/123,0.00024251958319290604,0.0507789812999622,0,0,2.0925777112788526,17.419512691603913,SEMA5A;CCL11;PTPRN;HPN;NOD2;PTN;FGF2;EGFR;FGF7;HYAL1;ZNF703;ERBB2;SCN5A;PPP1R16B;STAT5A;CCL24;EGR3;EGF;SOX11;VEGFD;IGF1;PROX1;BMP6;PAX2;BMP5;NME1;MMP12;NELL2;NR4A1;NELL1;SFRP1;BMP2;NR4A3;LRG1;CDH13;TEK;VIP;LACRT
21,GO_Biological_Process_2023,Calcium Ion Import Across Plasma Membrane (GO:0098703),16/37,0.0002624662436496198,0.0524574578785171,0,0,3.5578637021408963,29.33596695926469,SLC24A2;CACNA2D1;CACNA1B;CACNA1D;NALF2;CACNA1H;SLC8A2;TRPM1;SCN11A;SCN9A;SCN7A;SCN4A;SCN5A;SCN2A;SCN3A;SCN1A
