gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol
ENSG00000136011,95.85637726485808,-3.1596385036117747,0.2332643288171842,-13.545313677549352,8.445237153558559e-42,7.986910226185721e-40,STAB2
ENSG00000136014,58.381266223003365,-2.175735405839013,0.2268451024784188,-9.591282254136406,8.699701659752064e-22,1.5022389318252832e-20,USP44
ENSG00000136158,1759.1754109211015,-2.384707230940579,0.1973563665019305,-12.083254638341,1.2949074496174581e-33,6.268154002474309e-32,SPRY2
ENSG00000136160,1308.7224615247085,-2.3469879631903696,0.1933019360715614,-12.141564698666558,6.359809292053103e-34,3.141485723723256e-32,EDNRB
ENSG00000136231,43.6429026007184,2.7146586190789237,0.4015092253038762,6.761136352531811,1.3691359253266962e-11,8.141594812163112e-11,IGF2BP3
ENSG00000136244,330.2818908772762,-2.220708154604823,0.3530142241678976,-6.290704460533659,3.160284981382696e-10,1.607052686189153e-09,IL6
ENSG00000136383,1042.7885681867062,-1.9830564392584675,0.2118173617045935,-9.362105274562404,7.816345713741571e-21,1.2269308171451993e-19,ALPK3
ENSG00000136490,852.4403694925065,1.7360251340100177,0.1804459753495989,9.620747321444076,6.5354594138037295e-22,1.1418792499791853e-20,LIMD2
ENSG00000136492,577.8837411444711,2.15707408992662,0.1986719740199749,10.857465430477587,1.8377929866031818e-27,5.30286087068182e-26,BRIP1
ENSG00000136531,271.97441261938127,-2.613832144502886,0.3013068714718491,-8.674983520072473,4.1361037302140735e-18,4.98489599231016e-17,SCN2A
ENSG00000136541,85.88063979926392,2.673395946289053,0.2543772414383192,10.509572048084705,7.804689920017454e-26,1.9329882071245463e-24,ERMN
ENSG00000136542,1424.5800610464253,1.662119397547784,0.2871462607023191,5.788406902748708,7.105711280114618e-09,3.0422793180126636e-08,GALNT5
ENSG00000136546,277.53430598631155,-1.876682549738795,0.3165868795089313,-5.927859526742805,3.069088618024533e-09,1.3800512694416576e-08,SCN7A
ENSG00000136574,9.93188959881754,2.140785498343053,0.5557490687484035,3.852072128819385,0.0001171225103166,0.0002795769973649,GATA4
ENSG00000136695,8.5705324042174,2.567027544491601,0.5745719291707881,4.467721818913585,7.905701813137554e-06,2.2588326597584183e-05,IL36RN
ENSG00000136732,2163.1388301109937,-1.974812201347316,0.1732373153134325,-11.399462048776003,4.207106360269053e-30,1.5528312711687509e-28,GYPC
ENSG00000136770,4451.440063577643,1.6024156254758906,0.1830055996543167,8.756101608380993,2.021195243786341e-18,2.505282817333117e-17,DNAJC1
ENSG00000136826,4027.332937251534,-2.5339466898903726,0.2015626162737347,-12.571511209445276,3.0287845934042696e-36,1.8087629341509767e-34,KLF4
ENSG00000136842,326.31268600816264,-2.1746811547186287,0.2989522693266535,-7.274342354439327,3.481121302419493e-13,2.4755364894781384e-12,TMOD1
ENSG00000136859,7216.658107444422,-1.76414042018229,0.1864123446230003,-9.463645896145351,2.973891000310848e-21,4.875456713958098e-20,ANGPTL2
ENSG00000136883,2545.39149235035,1.5652135602130377,0.3293164737482571,4.752916070058342,2.0050359494578824e-06,6.228384612138309e-06,KIF12
ENSG00000136918,14.557038741682405,2.912949786014547,0.406539144914863,7.165238138690368,7.765145185052842e-13,5.273670669378463e-12,WDR38
ENSG00000136928,62.619544705514095,3.1247189177578982,0.4550083445506193,6.867388159318199,6.538797829771352e-12,4.0242832868497846e-11,GABBR2
ENSG00000136960,4905.258533614284,-2.743953648995749,0.22786409623165,-12.042062327389242,2.135492859777578e-33,1.011599335981981e-31,ENPP2
ENSG00000136982,593.2423049749028,1.6943060253065667,0.1797674136002224,9.424989720742524,4.301476989896932e-21,6.894556755519361e-20,DSCC1
ENSG00000137033,1814.029583184898,-2.897938383650778,0.2750152263496265,-10.537374319655424,5.809834737334724e-26,1.4579448361158671e-24,IL33
ENSG00000137077,1357.0163745653806,-2.703661714652592,0.3402699437358472,-7.945637763267902,1.9319421271356457e-15,1.7673446481456035e-14,CCL21
ENSG00000137090,4.760695183164321,2.41738511416143,0.545498188279051,4.431518135354118,9.357194139314353e-06,2.645961207195988e-05,DMRT1
ENSG00000137135,281.51276538607016,2.00973109615267,0.1726958408880221,11.637402996032788,2.659918887699217e-31,1.0874976067785645e-29,ARHGEF39
ENSG00000137142,154.3759196599718,2.7452325609533106,0.2907885047355934,9.440650219132564,3.70473211237362e-21,5.979669164250832e-20,IGFBPL1
ENSG00000137225,177.55328637786494,-2.73433064148846,0.202555071608437,-13.499196143428316,1.5809165331053226e-41,1.4638626086158169e-39,CAPN11
ENSG00000137261,63.81855129151565,2.095443056534873,0.3106843493788874,6.744604485948622,1.534444336902467e-11,9.079906090666458e-11,KIAA0319
ENSG00000137309,6799.92580218921,1.583596312727462,0.1699173716294155,9.319802310626816,1.1655726824096976e-20,1.7998311467192164e-19,HMGA1
ENSG00000137310,1976.0844897249208,1.5271699832674297,0.1824169770691455,8.371863232272249,5.671424678390688e-17,6.089620639524546e-16,TCF19
ENSG00000137392,12.442629189745936,2.728522709981712,0.4511663584335994,6.047708697640592,1.4692028829996244e-09,6.898244985108661e-09,CLPS
ENSG00000137440,156.2994422370444,-1.5219888888153428,0.5500575438146478,-2.766963031286424,0.0056581171001132,0.0101783295157049,FGFBP1
ENSG00000137441,248.49709407430296,-4.195185207317642,0.3451504103210892,-12.15465803275422,5.418805683821292e-34,2.6866559896931127e-32,FGFBP2
ENSG00000137463,22.647146291465543,-2.247977166447422,0.1962384502762217,-11.455334891216324,2.211070164410653e-30,8.358348452235151e-29,MGARP
ENSG00000137563,2004.5824097073996,1.9147180864418445,0.240257922302114,7.969427472340199,1.594111515384604e-15,1.4776251664229456e-14,GGH
ENSG00000137571,67.34528523532303,2.24400900333378,0.2814197263838713,7.973886664479352,1.5376055468756919e-15,1.4277382043403744e-14,SLCO5A1
ENSG00000137573,13003.758055541752,1.7991235571037507,0.177711385027977,10.123850854127976,4.330353392082097e-24,9.228479662757157e-23,SULF1
ENSG00000137634,7.0792846354686265,-1.5817202623629696,0.3272938468790438,-4.832722269134248,1.346786127113613e-06,4.280177149969418e-06,NXPE4
ENSG00000137648,311.9017534453224,2.6610718504518767,0.4446592830868874,5.984518825241521,2.170304886599962e-09,9.967860795539892e-09,TMPRSS4
ENSG00000137675,30.146081738958923,-2.995411174425999,0.2735369906429375,-10.950662165966682,6.596362648913376e-28,1.974080376068389e-26,MMP27
ENSG00000137699,5808.826530982593,-1.672894851182557,0.3580131739070122,-4.672718696147931,2.972387460764318e-06,9.020349065868648e-06,TRIM29
ENSG00000137727,496.5022967423872,-3.073289181306988,0.1904973373322436,-16.132977102703066,1.4963033033329917e-58,6.337966829702012e-56,ARHGAP20
ENSG00000137731,11.55710064727226,-1.9673184837100768,0.275420382729371,-7.142966196670966,9.133809435276062e-13,6.155997609496863e-12,FXYD2
ENSG00000137745,1204.1040689468805,6.085056634102616,0.3605795611074684,16.87576693313741,6.783818111715516e-64,5.815482784478704e-61,MMP13
ENSG00000137766,13.54878236497708,-2.217120177575998,0.2709570498087164,-8.182552102413226,2.778945260599809e-16,2.792078272228353e-15,UNC13C
